ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
469,LE440,TCE,Trichloroethylene,8,131.38,0,2.178,3.13,3.85,100,41.5,-1,0,510,1434.22,0.1,0.347,31.81,Rejection of trace organic compounds by high-pressure membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Rejection of trace organic compounds by high-pressure membranes,Rejection of trace organic compounds by high-pressure membranes,PA
470,LE440,TCE,Trichloroethylene,8,131.38,0,2.178,3.13,3.85,100,41.5,-1,0,510,2870.4,0.1,0.347,4.29,Rejection of trace organic compounds by high-pressure membranes,Artificial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanofiltration and reverse osmosis membranes,Rejection of trace organic compounds by high-pressure membranes,Rejection of trace organic compounds by high-pressure membranes,PA
471,LE440,PMD,Primidone,8,218.256,0,1.118,4.17,5.4,100,41.5,-1,0,510,10,0.1,0.475,83,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
472,LE440,CBP,Carbamazepine,8,236.274,0,2.766,4.48,5.76,100,41.5,-1,0,510,10,0.1,0.508,76,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
473,LE440,PCE,Perchloroethylene,8,165.82,0,2.615,3.18,3.86,100,41.5,-1,0,510,10,0.1,0.35,76,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
474,LE440,CTC,Carbontetrachloride,8,153.81,0,2.997,3.16,3.18,100,41.5,-1,0,510,10,0.1,0.317,69,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
475,LE440,CTB,Carbontetrabromide,8,331.627,0,3.597,3.37,3.42,100,41.5,-1,0,510,10,0.1,0.339,89,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
476,LFC1,CPF,Ciprofloxacin,7,331.347,0.0512,-0.863,5.02,7.48,100,78,-1,-0.0512,1500,10,10,0.613,100,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,RemovalofGlucocorticosteroidsandAnesthetics fromWaterwithRO/NFMembranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
477,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1500,10,10,0.601,99.2,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,RemovalofGlucocorticosteroidsandAnesthetics fromWaterwithRO/NFMembranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
478,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,10,15,0.601,99.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
479,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,120,15,0.601,99.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
480,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,240,15,0.601,99.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
481,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,360,15,0.601,99.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
482,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,480,15,0.601,99.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
483,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,720,15,0.601,99.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
484,LFC1,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,78,-1,0,1000,1440,15,0.601,99.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
485,LFC1,FBT,Febantel,7,446.48,0.8737,4.795,6.75,7.89,100,78,-1,-0.8737,1500,10,10,0.73,100,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,RemovalofGlucocorticosteroidsandAnesthetics fromWaterwithRO/NFMembranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
486,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,10,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
487,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,120,15,0.579,99.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
488,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,240,15,0.579,99.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
489,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,360,15,0.579,99.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
490,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,480,15,0.579,99.5,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
491,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,720,15,0.579,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
492,LFC1,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,78,-1,0,1000,1440,15,0.579,99.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
493,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,10,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
494,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,120,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
495,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,240,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
496,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,360,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
497,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,480,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
498,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,720,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
499,LFC1,LDC,Lidocaine,7,234.343,0.8504,2.843,4.51,6.75,100,78,-1,-0.8504,1000,1440,15,0.552,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
500,LFC1,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,78,1,-1,1379,133.72,10,0.528,99.85,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,,PA
501,LFC1,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,78,1,-1,1379,424.99,10,0.528,99.79,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,,PA
502,LFC1,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,78,1,-1,1379,1469.58,10,0.528,99.8,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,,PA
503,LFC1,PFOS,perfluorooctane sulfonate,4,499.12,-1,5.43,4.04,6.89,100,78,1,-1,1379,5625.81,10,0.528,99.91,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,,PA
504,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,10,15,0.589,100,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
505,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,120,15,0.589,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
506,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,240,15,0.589,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
507,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,360,15,0.589,99.3,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
508,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,480,15,0.589,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
509,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,720,15,0.589,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
510,LFC1,PRC,Procaine,7,236.315,0.9892,1.88,4.31,8.04,100,78,-1,-0.9892,1000,1440,15,0.589,99.4,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocortico steroids and An esthetics from Water with RO/NF Membranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
511,LFC1,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,100,78,-1,0.8735,1500,10,10,0.563,97.2,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,RemovalofGlucocorticosteroidsandAnesthetics fromWaterwithRO/NFMembranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
512,LFC1,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,100,78,-1,-0.9345,1500,10,10,0.588,98.3,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,RemovalofGlucocorticosteroidsandAnesthetics fromWaterwithRO/NFMembranes,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,Hypochlorite degradation of crosslinked polyamide membranes I. Changes in chemical/morphological properties,PA
513,NE90,CFA,Clofibric acid,8,214.65,-1,2.899,3.5,6.2,200,52,-1,1,240,2880,0.1,0.466,86,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
514,NE90,DCF,Diclofenac,8,296.15,-1,4.259,4.62,6.34,200,52,-1,1,240,2880,0.1,0.541,90,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
515,NE90,DRA,Dichloroacetic acid,8,128.94,-1,1.058,3.08,3.47,200,52,-1,1,240,2880,0.1,0.327,89,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
516,NE90,IBP,Ibuprofen,8,206.285,-1,3.844,3.78,6.59,200,52,-1,1,240,2880,0.1,0.499,86,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
517,NE90,NPX,Naproxen,8,230.263,-1,2.986,3.92,7.3,200,52,-1,1,240,2880,0.1,0.535,89,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
518,NE90,PMD,Primidone,8,218.256,0,1.118,4.17,5.4,200,52,-1,0,240,2880,0.1,0.475,82,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
519,NE90,PNA,Phenacetine,8,179.219,0,1.41,3.45,6.9,200,52,-1,0,240,2880,0.1,0.488,45,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
520,NE90,TCA,Trichloroacetic acid,8,163.38,-1,1.529,3.17,3.85,200,52,-1,1,240,2880,0.1,0.349,87,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,,PA
521,NE90,CRF,Chloroform,8,119.37,0,1.825,3.04,3.18,200,51.7,-1,0,240,10,0.1,0.311,1,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,MWCO ref: Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,PA
522,NE90,CTB,Carbontetrabromide,8,331.627,0,3.597,3.37,3.42,200,51.7,-1,0,240,10,0.1,0.339,70,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,MWCO ref: Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,PA
523,NE90,CTC,Carbontetrachloride,8,153.81,0,2.997,3.16,3.18,200,51.7,-1,0,240,10,0.1,0.317,52,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,MWCO ref: Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,PA
524,NE90,PCE,Perchloroethylene,8,165.82,0,2.615,3.18,3.86,200,51.7,-1,0,240,10,0.1,0.35,57,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,MWCO ref: Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,,,PA
525,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,10,10,0.579,83.97,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
526,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,60,10,0.579,79.01,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
527,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,120,10,0.579,73.31,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
528,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,180,10,0.579,70.92,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
529,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,240,10,0.579,62.63,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
530,NF,ABD,Albendazole,7,265.33,0,3.205,3.69,9.07,300,53.8,-1,0,1000,300,10,0.579,46.59,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
531,NF,CPF,Ciprofloxacin,7,331.347,0.0512,-0.863,5.02,7.48,300,53.8,-1,-0.0512,1500,10,10,0.613,97.2,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off determination using polyethylene glycols,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,PPA
532,NF,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,300,53.8,-1,0,1500,10,10,0.601,100,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off determination using polyethylene glycols,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,PPA
533,NF,FBT,Febantel,7,446.48,0.8737,4.795,6.75,7.89,300,53.8,-1,-0.8737,1500,10,10,0.73,100,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off determination using polyethylene glycols,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,PPA
534,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,10,10,0.579,91.05,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
535,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,60,10,0.579,91.24,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
536,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,120,10,0.579,91.67,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
537,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,180,10,0.579,93.03,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
538,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,240,10,0.579,92.75,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
539,NF,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,300,53.8,-1,0,1000,300,10,0.579,92.94,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
540,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,10,10,0.589,81.41,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
541,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,60,10,0.589,76.89,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
